SG_UF,NM_MUNICIPIO,CD_TSE,CD_IBGE
MS,NOVA ANDRADINA,91235,5006200
MT,PONTES E LACERDA,89990,5106752
AM,TEFÉ,2810,1304203
CE,BARRO,13390,2302008
RS,SANTO ANTÔNIO DO PLANALTO,87661,4317756
RS,SÃO JOSÉ DO NORTE,88730,4318507
PA,SANTA MARIA DO PARÁ,5312,1506609
AM,HUMAITÁ,2356,1301704
ES,MARECHAL FLORIANO,56103,3203346
PE,SÃO LOURENÇO DA MATA,25739,2613701
SE,FEIRA NOVA,31437,2605400
SE,CAPELA,31259,2701704
MG,SANTA FÉ DE MINAS,51519,3157609
PA,MOJU,4936,1504703
PB,SERRA REDONDA,22179,2515807
RO,CACOAL,94,1100049
PR,BALSA NOVA,74438,4102307
AM,ANORI,2038,1300102
PR,JAGUARIAÍVA,76333,4112009
GO,ITAGUARU,94072,5210604
PE,GRAVATÁ,24279,2606408
AL,ATALAIA,27073,2700409
RN,SEVERIANO MELO,18694,2413607
PE,RIACHO DAS ALMAS,25330,2611705
MA,PRESIDENTE DUTRA,8796,2109106
SP,VÁRZEA PAULISTA,72338,3556503
RS,GIRUÁ,86797,4309001
MS,MARACAJU,91073,5005400
CE,BEBERIBE,13439,2302206
RS,EUGÊNIO DE CASTRO,85448,4307831
GO,PARAÚNA,95230,5216403
BA,SAÚDE,38954,2929800
SP,TREMEMBÉ,71978,3554805
PA,SANTA ISABEL DO PARÁ,5290,1506500
RS,HERVAL,86398,4307104
BA,EUNÁPOLIS,30058,2910727
ES,CASTELO,56278,3201407
PI,SÃO RAIMUNDO NONATO,12114,2210607
RS,CAPELA DE SANTANA,84891,4304689
AL,SÃO JOSÉ DA TAPERA,28673,2708402
MA,ITAPECURU MIRIM,8079,2105401
CE,GUAIÚBA,13242,2304954
TO,BANDEIRANTES DO TOCANTINS,73580,1703057
SP,ITUPEVA,65811,3524006
CE,AMONTADA,15873,2300754
SP,VARGEM GRANDE PAULISTA,72737,3556453
SE,TOBIAS BARRETO,32476,2807402
SC,TURVO,83690,4127965
BA,OUROLÂNDIA,37680,2923357
SC,CAXAMBU DO SUL,80799,4204103
CE,MARCO,14575,2307809
SP,NHANDEARA,67539,3532603
MA,BREJO DE AREIA,7307,2102150
PI,ANTÔNIO ALMEIDA,10154,2200806
SP,ADAMANTINA,61018,3500105
RS,BARÃO DE COTEGIPE,85332,4301701
PR,PIRAÍ DO SUL,77674,4119400
PR,ALTO PIQUIRI,74110,4100707
GO,JARAGUÁ,94315,5211800
RN,MACAÍBA,17418,2407104
MA,BACURI,7250,2101301
BA,SÃO GABRIEL,39896,2929255
SP,PIRACAIA,68730,3538600
RS,WESTFALIA,89524,4323770
SP,BOM JESUS DOS PERDÕES,62413,3507100
ES,SÃO JOSÉ DO CALÇADO,56952,3204807
MG,SARZEDO,40800,3165537
MG,SANTANA DO MANHUAÇU,51772,3158904
MA,ITAIPAVA DO GRAJAÚ,7706,2105351
SC,RODEIO,82970,4215109
RS,SÃO LOURENÇO DO SUL,88790,4318804
MG,CARANGOLA,42650,3113305
SE,NOSSA SENHORA DA GLÓRIA,31895,2804508
PE,ITAMBÉ,25976,2607653
BA,LAPÃO,39730,2919157
RS,FREDERICO WESTPHALEN,86673,4308508
MS,SIDROLÂNDIA,91570,5007901
BA,CACHOEIRA,33979,2904902
SC,DESCANSO,80950,4204905
RJ,VALENÇA,59218,2932903
RS,TUPANDI,85723,4322251
SP,JABOTICABAL,65870,3524303
CE,GRANJA,13951,2304707
SP,DUARTINA,63916,3514502
RS,BALNEÁRIO PINHAL,88927,4301636
TO,PEDRO AFONSO,95257,1716505
BA,RIBEIRÃO DO LARGO,38342,2926657
PI,SIMPLÍCIO MENDES,12157,2210805
RJ,CARAPEBUS,58300,3300936
BA,CÍCERO DANTAS,34550,2907806
MG,ITAGUARA,46434,3132206
PE,BOM CONSELHO,23418,2602100
MT,NOVA BRASILÂNDIA,89818,5106208
PA,ALMEIRIM,4090,1500503
PB,FAGUNDES,20230,2506103
PA,BENEVIDES,4294,1501501
TO,ARAGUATINS,92436,1702208
BA,TREMEDAL,39357,2931806
MT,UNIÃO DO SUL,90840,5108303
MG,TRÊS PONTAS,53872,3169406
PR,GUAÍRA,75710,3517406
BA,RETIROLÂNDIA,38237,2926103
PA,BRAGANÇA,4332,1501709
RS,TAQUARA,89273,4321204
SC,ITAPEMA,81639,4208302
BA,MUCUGÊ,37397,2921906
RS,SANANDUVA,88358,4316600
PE,VERTENTES,26239,2616209
MG,SÃO ROMÃO,52833,3164209
BA,SANTA BRÍGIDA,38539,2927606
RS,SANTIAGO,88510,4317400
TO,GURUPI,93858,1709500
PB,SALGADO DE SÃO FÉLIX,21636,2513109
SC,CUNHA PORÃ,80918,4204707
PE,PARNAMIRIM,25070,2403251
MG,SERRA DO SALITRE,53350,3166808
ES,MIMOSO DO SUL,56677,3203403
MA,PALMEIRÂNDIA,8516,2107605
MG,FORMOSO,45233,3126208
PI,SANTO INÁCIO DO PIAUÍ,11894,2209500
RJ,RIO DAS FLORES,58890,3304508
SE,NOSSA SENHORA DO SOCORRO,31950,2804805
PA,ITAITUBA,4715,1503606
RO,NOVA BRASILÂNDIA DOESTE,370,1100148
MG,ITATIAIUÇU,46736,3133709
PB,GURINHÉM,20290,2506400
RS,MUÇUM,87530,4312609
CE,CROATÁ,15881,2304236
MG,ARAPORÃ,40029,3103751
MG,BRASÍLIA DE MINAS,41718,3108602
AL,SANTA LUZIA DO NORTE,28576,2707909
SP,ATIBAIA,61816,3504107
RS,RONDINHA,88277,4316204
RN,MARCELINO VIEIRA,17450,2407302
MG,DESTERRO DE ENTRE RIOS,44270,3121407
MG,TIMÓTEO,53732,3168705
AL,ESTRELA DE ALAGOAS,27049,2702553
MA,PIRAPEMAS,8737,2108801
AL,BRANQUINHA,27219,2701100
SC,GUABIRUBA,81230,4206306
MG,CANÁPOLIS,42358,2906105
MG,SANTA RITA DO SAPUCAÍ,51918,3159605
AM,ITACOATIARA,2410,1301902
AP,SANTANA,6157,1600600
PR,IRATI,76074,4110706
BA,JACARACI,36498,2917409
CE,TAMBORIL,15652,2313203
RO,COSTA MARQUES,213,1100080
PI,SÃO FRANCISCO DE ASSIS DO PIAUÍ,12505,2209658
MG,ABAETÉ,40037,3100203
BA,IBITIARA,35610,2913002
RS,PALMITINHO,87793,4313805
ES,SÃO MATEUS,56979,3204906
CE,MERUOCA,14656,2308203
RS,BRAGA,85510,4302600
SC,SÃO MIGUEL DO OESTE,83399,4217204
AL,MATRIZ DE CAMARAGIBE,28010,2705101
MG,SÃO GOTARDO,52418,3162104
SC,BALNEÁRIO PIÇARRAS,82511,4212809
SP,SERRANA,71315,3551504
MG,SÃO SEBASTIÃO DO ANTA,42366,3164472
PA,TOMÉ-AÇU,5592,1508001
MG,DORES DO INDAIÁ,44636,3123205
AM,BORBA,2178,1300805
SC,CAÇADOR,80578,4203006
PR,RIBEIRÃO DO PINHAL,78158,4121901
RO,VILHENA,132,1100304
PB,RIACHO DE SANTO ANTÔNIO,19828,2512788
SP,GUARARAPES,64653,3518206
ES,FUNDÃO,56430,3202207
GO,HEITORAÍ,93874,5209606
MG,ITABIRINHA,46353,3131802
SP,ITAPORANGA,65579,2507002
RR,CANTÁ,3069,1400175
MS,PARAÍSO DAS ÁGUAS,55050,5006275
MA,SÃO FRANCISCO DO MARANHÃO,9156,2110906
RN,GROSSOS,16853,2404408
SP,ITU,65790,3523909
GO,BOM JESUS DE GOIÁS,92690,5203500
MG,NINHEIRA,41122,3144656
BA,JAGUARARI,36552,2917706
MG,NOVO ORIENTE DE MINAS,40509,3145356
MG,SÃO JOÃO NEPOMUCENO,52574,3162906
PE,BUENOS AIRES,23531,2602704
AL,PORTO DE PEDRAS,28479,2707404
RJ,CANTAGALO,58211,3112059
MG,MÁRIO CAMPOS,41025,3140159
MG,ARCOS,40835,3104205
MG,MONTE AZUL,48577,3142908
SC,IÇARA,81370,4207007
RJ,QUISSAMÃ,58009,3304151
MG,MUNHOZ,48755,3143807
PE,PRIMAVERA,25275,1506104
SC,LONTRAS,81957,4209904
PR,ROLÂNDIA,78255,4122404
MG,CANDEIAS,42390,2906501
PR,GRANDES RIOS,79596,4108700
MG,ITUTINGA,46892,3134509
TO,PALMEIRÓPOLIS,96490,1715754
MT,LAMBARI DOESTE,90301,5105234
PE,SÃO CAITANO,25615,2613107
PR,CORNÉLIO PROCÓPIO,75256,4106407
PE,VENTUROSA,26190,2616001
RN,MONTE ALEGRE,17558,1504802
SE,SÃO MIGUEL DO ALEIXO,32395,2807006
SC,QUILOMBO,82791,4214201
PR,IMBAÚ,75442,4110078
GO,BURITI ALEGRE,92770,5203906
MG,CÓRREGO DANTA,43958,3119807
AM,CAAPIRANGA,2992,1300839
BA,GOVERNADOR MANGABEIRA,35319,2911600
MA,SUCUPIRA DO NORTE,9318,2111904
SP,MORRO AGUDO,67393,3531902
MG,PARAISÓPOLIS,49450,3147303
SP,AMPARO,61379,2500734
MG,MIRADOURO,48410,3142106
RS,IRAÍ,87114,4310504
GO,SANTO ANTÔNIO DE GOIÁS,92908,5219738
PA,PEIXE-BOI,5118,1505601
SC,LAURO MÜLLER,81892,4209607
MT,CARLINDA,90760,5102793
MA,LAGO DO JUNCO,8150,2105807
MA,TUTÓIA,9431,2112506
MG,SÃO FRANCISCO DE PAULA,52230,3161205
PB,ITAPORANGA,20419,2507002
BA,MARAGOGIPE,37133,2920601
BA,VÁRZEA DO POÇO,39616,2933109
GO,ÁGUAS LINDAS DE GOIÁS,93343,5200258
MG,SÃO LOURENÇO,52736,3163706
CE,TEJUÇUOCA,13323,2313351
SP,MERIDIANO,66931,3529609
MG,LAGOA DOURADA,47473,3137403
MS,TERENOS,91596,5008008
PB,CABEDELO,19658,2503209
MT,SINOP,89850,5107909
SC,LEOBERTO LEAL,81930,4209805
SE,NOSSA SENHORA DAS DORES,31917,2804607
CE,ARACATI,13218,2301109
PB,ALGODÃO DE JANDAÍRA,19925,2500577
GO,DAMIANÓPOLIS,93351,5206701
MG,PARÁ DE MINAS,49417,3147105
CE,BATURITÉ,13412,2302107
MA,BOM JESUS DAS SELVAS,7269,2102036
RS,SÃO BORJA,88633,4318002
PR,TAMARANA,75663,4126678
BA,LICÍNIO DE ALMEIDA,36897,2919405
MG,CABO VERDE,41890,3109501
PE,ESCADA,24031,2605202
PR,GUARANIAÇU,75817,4109302
PI,CASTELO DO PIAUÍ,10510,2202604
AL,PORTO CALVO,28452,2707305
PI,SÃO JOSÉ DO PIAUÍ,12033,2210201
BA,SÃO SEBASTIÃO DO PASSÉ,38890,2929503
PR,ALMIRANTE TAMANDARÉ,74071,4100400
PE,MACAPARANA,24791,2609006
GO,COCALZINHO DE GOIÁS,92886,5205513
MG,LAJINHA,47538,3137700
PB,SÃO JOSÉ DE CAIANA,21873,2514305
PR,ITAPERUÇU,74446,4111258
PA,CURUÁ,4740,1502855
RS,SENADOR SALGADO FILHO,88765,4320321
ES,BREJETUBA,56146,3201159
SP,CAFELÂNDIA,62774,3508801
MG,PONTO DOS VOLANTES,40584,3152170
GO,SÃO LUIZ DO NORTE,92649,5220157
PB,SÃO JOÃO DO RIO DO PEIXE,19135,2500700
MG,PLANURA,50318,3151602
MS,GUIA LOPES DA LAGUNA,90816,5004106
MG,PADRE PARAÍSO,49255,3146305
AL,CAJUEIRO,27251,2701308
CE,CAMOCIM,13510,2302602
MG,BELO VALE,41270,3106408
SE,SIMÃO DIAS,32417,2807105
PE,JUCATI,23124,2608255
MG,CÓRREGO DO BOM JESUS,43974,3119906
RS,CAMAQUÃ,85693,4303509
PB,CABACEIRAS,19631,2503100
BA,DOM MACEDO COSTA,35033,2910206
BA,POJUCA,38059,2925204
MA,PRESIDENTE SARNEY,8141,2109270
SP,PILAR DO SUL,68594,3537909
SP,ITUVERAVA,65838,3524105
MA,CEDRAL,7595,2103109
MA,VITÓRIA DO MEARIM,9512,2112902
AL,DELMIRO GOUVEIA,27472,2702405
PR,BITURUNA,74551,4102901
MG,DIAMANTINA,44318,3121605
ES,MARATAÍZES,56120,3203320
PA,ALTAMIRA,4111,1500602
AC,SENA MADUREIRA,1457,1200500
PI,MADEIRO,12440,2205854
SP,MOGI MIRIM,67172,3530805
GO,LUZIÂNIA,94455,5212501
BA,UBAITABA,39438,2932200
ES,PIÚMA,56839,3204203
BA,RIACHO DE SANTANA,38296,2410801
PR,GUAMIRANGA,75426,4108957
SE,CAMPO DO BRITO,31194,2801009
BA,ESPLANADA,35114,2910602
PR,URAÍ,79413,4128401
BA,NOVA CANAÃ,37559,2922706
RN,PENDÊNCIAS,17973,2409902
PI,PAVUSSU,12289,2207850
SP,TORRINHA,71951,3554706
MA,CONCEIÇÃO DO LAGO-AÇU,7501,2103554
AL,JOAQUIM GOMES,27758,2703809
SP,RIBEIRÃO PIRES,69671,3543303
RN,FELIPE GUERRA,16730,2403707
SP,IGUAPE,65072,3520301
MT,QUERÊNCIA,90069,5107065
PA,RONDON DO PARÁ,5738,1506187
MG,CAMPO DO MEIO,42250,3111309
PB,ARARUNA,19194,2501005
SP,TATUÍ,71811,3554003
RJ,RIO DAS OSTRAS,58203,3304524
PR,GUAPIRAMA,75752,4109005
PI,BETÂNIA DO PIAUÍ,12122,2201739
MA,SANTO ANTÔNIO DOS LOPES,9032,2110302
MG,SANTA CRUZ DE SALINAS,41483,3157377
AC,SENADOR GUIOMARD,1538,1200450
PI,OEIRAS,11398,2207009
MG,UNIÃO DE MINAS,42447,3170438
MG,VARZELÂNDIA,54178,3170909
RS,MONTE BELO DO SUL,87084,4312385
PI,PATOS DO PIAUÍ,10383,2207777
PI,SÃO FRANCISCO DO PIAUÍ,11932,2209708
MG,SERRANOS,53392,3167004
PA,PLACAS,4626,1505650
PR,QUERÊNCIA DO NORTE,77976,4121000
MG,ITURAMA,46876,3134400
PR,ALTO PARANÁ,74098,4100608
RS,JÚLIO DE CASTILHOS,87254,4311205
RS,ALECRIM,85057,4300307
RJ,SÃO JOSÉ DE UBÁ,58343,3305133
CE,IPU,14176,2305803
RN,MARTINS,17477,2407401
PE,SANTA MARIA DO CAMBUCÁ,25534,2612703
MG,LAVRAS,47635,3138203
AL,PARICONHA,27022,2706422
MA,FEIRA NOVA DO MARANHÃO,7528,2104073
SP,FERRAZ DE VASCONCELOS,64157,3515707
SC,SANTA CECÍLIA,83054,2513158
MG,JURUAIA,47376,3136900
SP,BOITUVA,62391,3507001
PR,DOURADINA,84654,4107256
PI,DOMINGOS MOURÃO,11410,2203420
CE,TAUÁ,15679,2313302
PR,PALMAS,77330,1721000
MA,GOVERNADOR EDISON LOBÃO,7609,2104552
PE,ALAGOINHA,23116,2500502
MG,AIMORÉS,40215,3101102
PB,PEDRA BRANCA,21210,2310506
SP,PARIQUERA-AÇU,68250,3536208
CE,NOVA RUSSAS,14877,2309300
BA,XIQUE-XIQUE,39713,2933604
SP,TANABI,71692,3553401
MG,RIO MANSO,51055,3155306
PI,VALENÇA DO PIAUÍ,12254,2211308
MG,ARAÚJOS,40770,3103900
SP,ITAOCA,61603,3522158
MG,RIO POMBA,51152,3155801
SP,CAJATI,61484,3509254
RN,SÃO JOSÉ DE MIPIBU,18414,2412203
PI,ITAINÓPOLIS,10995,2205003
MG,CANAÃ,42331,3111705
MG,DIVISA NOVA,44474,3122405
MG,CONCEIÇÃO DE IPANEMA,43478,3117405
SC,SANTA HELENA,80721,2109809
BA,SANTA BÁRBARA,38512,2927507
RS,SANTO AUGUSTO,88595,4317806
SP,TRÊS FRONTEIRAS,71994,3554904
SP,SANTA RITA DO PASSA QUATRO,70513,3547502
RS,ERVAL GRANDE,86410,4307203
BA,CAPIM GROSSO,30830,2906873
PR,MANDAGUAÇU,76759,4114104
PE,ARARIPINA,23213,2601102
SP,SANTA CRUZ DAS PALMEIRAS,70270,3546306
SC,SANTIAGO DO SUL,81205,4215695
PI,CANTO DO BURITI,10456,2202307
SP,MIRANDÓPOLIS,67032,3530102
BA,ITABELA,35947,2914653
CE,JAGUARIBARA,14370,2306801
PA,NOVA IPIXUNA,4600,1504976
PB,MONTEIRO,20958,2509701
MG,ALVARENGA,40436,3102209
PR,AMPÉRE,74179,4101002
AL,BELÉM,27154,1501402
MG,MANGA,47856,3139300
PB,SANTA RITA,21750,2110203
SP,SÃO ROQUE,71137,3550605
MG,SÃO GONÇALO DO SAPUCAÍ,52396,3162005
MG,SÃO SEBASTIÃO DO MARANHÃO,52892,3164506
MG,ARAGUARI,40690,3103504
MG,RECREIO,50814,3154101
PB,LAGOA SECA,20672,2508307
MG,CONSELHEIRO PENA,43672,3118403
MG,AREADO,40851,3104304
GO,ÁGUA FRIA DE GOIÁS,96938,5200175
TO,WANDERLÂNDIA,96652,1722081
SP,SANTANA DE PARNAÍBA,70475,3547304
BA,ANDARAÍ,33251,2901304
MA,APICUM-AÇU,7064,2100832
PA,CAPITÃO POÇO,4456,1502301
CE,SENADOR POMPEU,15555,2312700
AM,RIO PRETO DA EVA,98434,1303569
SP,CUBATÃO,63711,3513504
RS,CANDELÁRIA,85812,4304200
BA,BARRA DO MENDES,33596,2903003
PR,ASSAÍ,74373,4101903
SP,ARARAQUARA,61638,3503208
MG,PARACATU,49395,3147006
CE,PEDRA BRANCA,15113,2310506
GO,PARANAIGUARA,94552,5216304
RS,GLORINHA,85502,4309050
MG,OLIVEIRA,49115,3145604
SC,GUARUJÁ DO SUL,81299,4206603
MG,INDIANÓPOLIS,46132,3130705
RS,VACARIA,89532,4322509
PE,CEDRO,23850,2303808
SP,PAULO DE FARIA,68330,3536604
PB,MULUNGU,20974,2309102
MA,ROSÁRIO,8915,2109601
RS,PICADA CAFÉ,87360,4314423
MG,VÁRZEA DA PALMA,54151,3170800
MA,BURITIRANA,7366,2102358
RS,DOIS IRMÃOS,86258,4306403
RJ,PARACAMBI,58718,3303609
SP,UCHOA,72133,3555604
MG,BAMBUÍ,41017,3105103
SC,SÃO JOSÉ DO CERRITO,83313,4216800
RN,ITAJÁ,16080,2404853
RO,NOVA MAMORÉ,434,1100338
SC,GASPAR,81175,4205902
MG,MONTEZUMA,40460,3143450
CE,BARROQUINHA,13404,2302057
MA,PINDARÉ-MIRIM,8672,2108504
AM,NOVO AIRÃO,2011,1303205
SP,AVARÉ,61891,3504503
PE,LAGOA DE ITAENGA,24694,2608503
PB,DUAS ESTRADAS,20176,2505808
ES,RIO NOVO DO SUL,56871,3204401
SC,CAMPO ALEGRE,80632,2701407
PR,SÃO MATEUS DO SUL,78875,4125605
RS,ÁUREA,84735,4301552
RN,BARAÚNA,30031,2401453
MG,MURIAÉ,48771,3143906
BA,CABACEIRAS DO PARAGUAÇU,33960,2904852
MA,BACABAL,7234,2101202
PB,CONGO,19950,2504702
AM,AMATURÁ,2917,1300060
BA,COARACI,34592,2908002
MA,ALDEIAS ALTAS,7056,2100303
RJ,SÃO SEBASTIÃO DO ALTO,59056,3305307
RN,MAXARANGUAPE,17493,2407500
SP,ALUMÍNIO,61220,3501152
RN,BREJINHO,16357,2401800
PR,TIBAGI,79235,4127502
PR,SULINA,75787,4126652
AM,ATALAIA DO NORTE,2054,1300201
SP,SÃO MIGUEL ARCANJO,71056,3550209
MG,MANHUMIRIM,47899,3139508
PI,DOM INOCÊNCIO,10685,2203453
RS,VENÂNCIO AIRES,89559,4322608
PR,PIÊN,77615,4119103
RS,CRUZ ALTA,86193,4306106
RS,NOVA ALVORADA,86169,4312757
SC,MASSARANDUBA,82074,2509206
MG,POÇO FUNDO,50334,3151701
SP,PRESIDENTE EPITÁCIO,69272,3541307
PB,QUIXABA,21539,2512606
SC,SANGÃO,81000,4215455
GO,URUANA,96350,5221700
SC,FAXINAL DOS GUEDES,81035,4205308
PR,QUEDAS DO IGUAÇU,79553,4120903
RS,CERRO GRANDE,85227,4305157
BA,RIBEIRA DO POMBAL,38334,2926608
MG,TAIOBEIRAS,53597,3168002
MG,CATUTI,41866,3115474
RS,BOSSOROCA,85499,4302501
MG,GUARANÉSIA,45659,3128303
SP,BARIRI,62030,3505203
MG,SÃO JOÃO DO MANTENINHA,40746,3162575
SP,PERUÍBE,68535,3537602
PR,ARAPOTI,74292,4101606
RJ,ARRAIAL DO CABO,59277,3300258
CE,ACARAPE,13145,2300150
SP,TRABIJU,62448,3554755
SC,ITAPIRANGA,81655,1302009
SP,ILHA COMPRIDA,62006,3520426
RS,BARRA DO QUARAÍ,88625,4301875
SP,TACIBA,71595,3552908
SE,PORTO DA FOLHA,32115,2805604
RS,TRAVESSEIRO,87980,4321626
PR,MARIÓPOLIS,76937,4115309
PI,LUZILÂNDIA,11150,2205805
TO,AXIXÁ DO TOCANTINS,92576,1702901
BA,SAPEAÇU,38911,2929602
RS,BROCHIER,85065,4302659
PE,BREJO DA MADRE DE DEUS,23515,2602605
PI,BOA HORA,10669,2201770
MG,SANTA BÁRBARA DO LESTE,40649,3157252
CE,MISSÃO VELHA,14699,2308401
PB,BELÉM,19399,1501402
PB,FREI MARTINHO,20257,2506202
SC,PETROLÂNDIA,82490,2611002
PB,ZABELÊ,19348,2517407
MT,JAURU,89915,5105002
PE,CHÃ GRANDE,23892,2604502
BA,TEOFILÂNDIA,39292,2931509
RO,MINISTRO ANDREAZZA,604,1101203
MT,MIRASSOL DOESTE,91774,5105622
AL,JUNDIÁ,27774,2406155
CE,QUIXADÁ,15270,2311306
PR,CAMPO LARGO,74810,4104204
RN,LAJES PINTADAS,17353,2406809
CE,MONSENHOR TABOSA,14737,2308609
MG,ILICÍNEA,46094,3130507
PA,ANAPU,4723,1500859
MA,BACABEIRA,7129,2101251
PI,CAMPINAS DO PIAUÍ,10413,2202109
CE,ERERÉ,13200,2304277
SP,INDIANA,65137,3520608
PE,BUÍQUE,23558,2602803
PA,BAGRE,4219,1501105
MG,SABARÁ,51330,3156700
RJ,ITAGUAÍ,58394,3302007
PA,SANTA LUZIA DO PARÁ,4146,1506559
CE,PACATUBA,14958,2309706
SP,SALTO,70050,3545209
GO,GOIÁS,93777,5208905
PI,SÃO MIGUEL DO FIDALGO,12700,2210391
AM,IPIXUNA,2399,1301803
GO,NOVO GAMA,93327,5215231
GO,CACHOEIRA ALTA,92819,5204102
RS,CRISTAL,85464,4306056
BA,MUNDO NOVO,37435,2922102
PB,BELÉM DO BREJO DO CRUZ,19410,2502003
RS,RIO PARDO,88170,4315701
PI,DEMERVAL LOBÃO,10650,2203305
PE,SÃO BENTO DO UNA,25593,2613008
PE,POÇÃO,25232,2611200
MA,IGARAPÉ GRANDE,8010,2105203
GO,SENADOR CANEDO,92703,5220454
BA,RIBEIRA DO AMPARO,38318,2926509
PI,INHUMA,10936,2204709
MA,MIRINZAL,8354,2106805
CE,JUCÁS,14494,2307403
MS,CORUMBÁ,90638,5003207
SP,ASSIS,61794,3504008
PB,JUAREZ TÁVORA,20532,2507606
AL,ÁGUA BRANCA,27014,2200202
RO,JARU,159,1100114
PR,JANDAIA DO SUL,76350,4112108
RN,SANTANA DO MATOS,18279,2411403
PI,FLORIANO,10774,2203909
SP,POLONI,68993,3539905
AL,TEOTÔNIO VILELA,28932,2709152
PR,TRÊS BARRAS DO PARANÁ,79871,4127858
SP,IGARATÁ,65056,3520202
MT,ARIPUANÃ,90271,5101407
MG,CURVELO,44172,3120904
PE,LAGOA GRANDE,23183,2608750
RS,SEGREDO,85529,4320263
RN,CURRAIS NOVOS,16616,2403103
MG,DOM JOAQUIM,44512,3122603
PB,SÃO VICENTE DO SERIDÓ,22098,2515401
MT,SANTO ANTÔNIO DO LEVERGER,91553,5107800
RR,MUCAJAÍ,3093,1400308
PR,JOAQUIM TÁVORA,76490,4112801
CE,ITAPAJÉ,14273,2306306
MT,CÁCERES,90476,5102504
PE,PANELAS,25038,2610202
MG,INCONFIDENTES,46116,3130606
MA,ALTO PARNAÍBA,7099,2100501
RN,RIACHO DA CRUZ,18112,2410702
MG,PIMENTA,50091,3150505
RS,SANTA VITÓRIA DO PALMAR,88498,4317301
MG,PEDRA AZUL,49735,3148707
BA,CATURAMA,34509,2907558
CE,SALITRE,15440,2311959
MG,PALMA,49336,3146701
MA,DOM PEDRO,7730,2103802
MG,BOM REPOUSO,41572,3107901
MG,RIO PIRACICABA,51136,3155702
PR,PORTO RICO,77836,4120200
MG,JANAÚBA,47015,3135100
ES,ECOPORANGA,56413,3202108
SP,LUÍS ANTÔNIO,66532,3527603
PI,ARRAIAL,10197,2201002
GO,SÃO MIGUEL DO PASSA QUATRO,92665,5220264
PR,CAFELÂNDIA,79855,3508801
SP,PITANGUEIRAS,68918,3539509
MG,MATA VERDE,40428,3140555
RS,JAGUARÃO,87211,4311007
CE,PORANGA,15210,2311009
TO,ARAGUANÃ,73318,1702158
PB,UMBUZEIRO,22411,2517001
ES,VILA VALÉRIO,56227,3205176
BA,FILADÉLFIA,30910,1707702
SP,DOURADO,63878,3514304
SP,PEREIRA BARRETO,68497,3537404
SC,IRATI,80861,4110706
SP,SÃO SEBASTIÃO,71153,2708808
SP,TAQUARITINGA,71757,3553708
BA,CORRENTINA,34851,2909307
SP,SANTO ANASTÁCIO,70556,3547700
GO,CORUMBÁ DE GOIÁS,93173,5205802
RS,DOM PEDRITO,86290,4306601
PE,SIRINHAÉM,25836,2614204
PR,DOIS VIZINHOS,75418,4107207
SE,MACAMBIRA,31739,2803708
CE,INDEPENDÊNCIA,14133,2305605
MG,CHAPADA GAÚCHA,41882,3116159
MA,MIRANDA DO NORTE,9695,2106755
PE,NAZARÉ DA MATA,24899,2609501
SP,TUPI PAULISTA,72036,3555109
MA,SUCUPIRA DO RIACHÃO,8540,2111953
PE,GAMELEIRA,24171,2605905
RS,VERA CRUZ,89575,2414803
MG,POUSO ALEGRE,50490,3152501
MA,TASSO FRAGOSO,9334,2112001
BA,ITAGIBÁ,36056,2915205
PI,LAGOA ALEGRE,10324,2205557
RS,ERECHIM,86371,4307005
MG,ANTÔNIO DIAS,40592,3103009
PR,IBIPORÃ,75914,4109807
ES,IBIRAÇU,56499,3202504
CE,SENADOR SÁ,15571,2312809
RJ,SEROPÉDICA,58424,3305554
RS,PARAÍSO DO SUL,85987,4314027
PR,REALEZA,78050,4121406
SP,PORTO FELIZ,69132,3540606
MG,JOSÉ GONÇALVES DE MINAS,42307,3136520
SP,SANTA CRUZ DO RIO PARDO,70297,3546405
BA,MACARANI,36951,2919702
MA,SÃO PEDRO DOS CRENTES,8400,2111573
BA,SANTO AMARO,38717,2928604
MG,MEDINA,48275,3141405
TO,NOVA OLINDA,96636,1714880
RR,AMAJARI,3042,1400027
MA,MAGALHÃES DE ALMEIDA,8257,2106300
BA,CANDEAL,34274,2906402
BA,BAIXA GRANDE,33510,2902609
MT,FELIZ NATAL,90786,5103700
RJ,PIRAÍ,58793,3304003
PI,SÃO GONÇALO DO PIAUÍ,11959,2209807
MA,MIRADOR,8338,2106706
MG,CUPARAQUE,41980,3120839
MG,PALMÓPOLIS,40525,3146750
GO,MINEIROS,94595,5213103
BA,MARCIONÍLIO SOUZA,37176,2920809
MG,RESENDE COSTA,50830,3154200
MG,MATIAS BARBOSA,48151,3140803
PR,SÃO JOSÉ DA BOA VISTA,78832,4125407
SP,AMÉRICO BRASILIENSE,61336,3501707
SE,MALHADA DOS BOIS,31755,2803807
MA,VITORINO FREIRE,9539,2113009
SC,SÃO JOÃO DO ITAPERIÚ,81124,4216354
MG,POMPÉU,50393,3152006
SC,TANGARÁ,83534,2414001
MG,BOM JARDIM DE MINAS,41491,3107505
SP,OUROESTE,62383,3534757
BA,BARRA,33537,2902708
MG,BRAZÓPOLIS,41777,3108909
AP,OIAPOQUE,6092,1600501
CE,PARAMOTI,15091,2310407
PR,CÂNDIDO DE ABREU,74853,4104402
SE,SANTA ROSA DE LIMA,32298,2806503
